video_path,caption
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/IER0c8JnQVg_2.mp4,"There are several potted plants on a windowsill, including a succulent plant with small green leaves."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/6YVTuYrtnBc_1.mp4,A woman is mixing oatmeal in a glass bowl with a wooden spoon.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/gjzEjOR7Epw_2.mp4,A glass baking dish filled with a yellow batter on a counter.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/MBcbBrAyVwg_0.mp4,A woman standing at a podium in front of an airplane.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/lzdsanvRzK0_1.mp4,A screen shot of a youtube page.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/FyXvJ9qmyLs_2.mp4,There is a man and a woman standing next to each other in front of a group of cars.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/crpyv-GtRfY_2.mp4,The speaker is sitting in front of a news desk and talking about gaming.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/crb9kuScunE_0.mp4,A woman in a blue dress is on the news.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/aC2Fd_lrdAA_0.mp4,There is a painting of a king on the ceiling of a room in a palace.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/_OV-g33DF_k_2.mp4,A woman is flipping through the pages of a photo book.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/H5oeaXKt0jg_2.mp4,A person is skiing down a snowy slope and passing through an archway.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/xahC-pfeoc8_1.mp4,A woman is mixing ingredients in a bowl with a mixer.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/MIeUjtWppas_0.mp4,A person opening a jar with their hands.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/W7E6T3i8VTM_2.mp4,The user is playing a soccer game on a console with a controller in his hand.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/87SgjJUjePo_0.mp4,A young man in a black leather jacket is standing outside on a sunny day and talking to the camera with excitement.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/M3CuGsv73h4_1.mp4,A person is arranging pine cones and plants on a table.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/lG-ZrjQeR_8_0.mp4,A person using a sewing machine to sew a shoe.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/pl2mO5qFebY_1.mp4,A tv screen showing a soccer game being played.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/qstxohq_4Q4_2.mp4,A man is using a skimmer to maintain the water level in a swimming pool.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/zJdINqvwsUg_2.mp4,Two men are working on a mask in a workshop.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/A7nABedu3A4_0.mp4,A man in a green shirt is standing in a greenhouse filled with pots of flowers and plants.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/-b82wZZ-AiU_2.mp4,A thank you card with the words thanks for watching.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/W5mGIAeAaBI_2.mp4,A young man is standing next to a white car parked in a parking lot.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/UW7XJG9cbIs_1.mp4,A group of teletubbies standing in a field.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/2VmZwvpOltw_2.mp4,A man is walking on the street and talking to the camera.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/KNCJWy7KWEQ_2.mp4,A red and white sticker with a wrench on it.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/w9OJGjHR0hE_1.mp4,A stack of bottles of water next to each other.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/LFMFJLMI9jU_0.mp4,"A man in glasses and a suit is sitting at a table with a beer bottle in front of him, and he explains why it's important to choose the right glass for drinking beer."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/k4X6n_2Eaq0_1.mp4,Two women are holding a bottle of soap.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/eKhV5D0yex8_2.mp4,A person is stirring a large pot of tomato sauce in a large wooden bowl with a spoon.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/UV_YfDv7Ff4_1.mp4,A cockatoo is standing on a perch and jumping up and down.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/6QMcxx4JYoo_2.mp4,People are protesting in front of a large building with a cloudy sky in the background.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/GNTFxD9WSY4_0.mp4,"There are three cars racing on a track, with one car in the lead and two following closely behind."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/Jh-KcNhdcPw_2.mp4,A man is standing in front of a parking lot and talking to the camera.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/gdV34HO3KwI_1.mp4,A man in a black shirt standing in a kitchen.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/BqxX7YGmwrY_1.mp4,A woman and a man doing exercises in a gym.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/SqBPkkAdXig_0.mp4,A group of people are standing on a boat and discussing something.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/tPndIN-O_DE_1.mp4,A woman sitting in a chair talking to a man.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/b17cxjWyXwQ_2.mp4,A close up of a hand touching a plant.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/A85xB4_u410_1.mp4,Police cars are parked on a street in the rain.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/laA7PHW0n_E_2.mp4,A young woman is holding a stack of christmas gift cards and talking to the camera.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/IO7awsFZ6fA_2.mp4,A close up of a blue shirt hanging on a wall.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/7YXRr-WplBM_0.mp4,A group of friends and family are gathered around a dinner table for a meal.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/LHbvaY0wF9Y_1.mp4,Two young men standing next to each other in front of a garage.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/QA2Vs7sfAOw_2.mp4,A person is using a knife to spread butter on a slice of bread on a white plate.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/fQO2Opzvyeg_1.mp4,A young man holding a piece of plastic in his hand.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/UFhvk-jqmTs_2.mp4,An underwater scene with the words click our picture below to subscribe.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/BLEt4IVVy8w_0.mp4,A woman is standing on stage at an event and talking to the audience.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/bhq_gxsCtrE_2.mp4,It is a black background with white text on it.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/BegGuHSRs0s_2.mp4,A woman is wearing a black shirt and talking to the camera.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/p4OUj1dha6o_0.mp4,A person using a grater on a kitchen counter.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/lpNtDNJuNik_1.mp4,A crowd of people standing on top of a balcony.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/zRpkjEJJ0p4_2.mp4,A person is playing a video game on a green screen.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/fknwCTBe9zU_0.mp4,"A person is using a lint roller to clean a paint tray, but instead of cleaning the tray, they are simply lining it with either aluminum foil or a plastic bag."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/ckoJE3aw4b0_1.mp4,There is a person holding a cup of coffee on a table with a patterned background.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/A8izvS2Gv7I_1.mp4,A man taking a picture of a man in a costume.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/1GiDqeZCJv8_2.mp4,A man is standing in front of a tv and talking about cars.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/VSjJRMlIqZI_2.mp4,A person drinking from a faucet with a microphone.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/HROrTDH7EtY_0.mp4,Two women on a news set talking to each other.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/YSSBYGFfTJA_2.mp4,It is a video game with a player in the middle of a battle.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/Q3ro7ORXLVA_0.mp4,"The text ""organizing under the kitchen sink"" is written on a black background."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/Yexp-I8lzP4_0.mp4,It is an old scripting led sign that was built in the early 80s for fun.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/pAdyqtoQKyI_0.mp4,A woman in a pink bunny costume on a news channel.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/GMYbaV6C-Lo_1.mp4,A basketball player is trying to get the ball away from another player.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/vL5QkWR9ut4_0.mp4,A man wearing a dark suit and tie is walking through a dark room.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/Iw8mZdHOOfA_1.mp4,The person is sitting at a counter with a book open in front of them.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/opd-6CvVFqM_0.mp4,A man in a white suit walking through a forest.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/02haL2QQzo0_2.mp4,A tv screen showing a trump and a donald trump in front of american flags.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/TQoGRwY_9SY_0.mp4,A woman is sitting on a couch and talking to the camera.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/nEH0WpmCf4M_2.mp4,The inside of a building that is on fire.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/zoJjJgdbGLU_2.mp4,Police officers are entering a house and arresting someone.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/xjUGmkwXJ9c_1.mp4,A person in blue gloves is spraying something on a pan.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/3GW4ylCcnCE_0.mp4,"A man is sitting in the driver's seat of a car, and he is wearing a black shirt."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/wWHzbRMEGCU_0.mp4,A text that reads simple essay on republic day.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/tq0qtjOqrec_2.mp4,An old man with glasses and a beanie is making a hand gesture with mountains in the background.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/2rsmW6Oka60_2.mp4,A young man in a striped shirt is talking to the camera while standing in a living room.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/7_JATryaNeg_2.mp4,A man is standing in a wheat field with his arms outstretched and the sun shining behind him.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/Dj0hDrLiP5A_0.mp4,"It is a news broadcast with two people sitting at a desk, one of them is wearing a red dress and the other is wearing a suit."
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/-CYoPAa32s4_0.mp4,A man is wearing a black mask and holding a chain in a cell.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/hpVoTUmZIZs_1.mp4,A cartoon dinosaur is roaring in the forest.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/mVROjfCLNZg_1.mp4,The person has a computer setup with an asus rampage iii extreme motherboard and an evga x58 classified video card.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/f11OQ-6fNds_2.mp4,A man with glasses eating food out of a bowl.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/cNOqAYrzaLo_0.mp4,A woman in a bikini top standing next to a blender.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/CAFODBSs_x0_0.mp4,A man is sitting at a table with fishing lures in front of him and he is sorting them out.
/project/llmsvgen/share/data_yazhou/panda70m/panda2m_cutting/videos/kGJf3kBrDWg_2.mp4,A man in a suit and tie is speaking at a podium.
